city,station_name,median_household_income_census_block,bucket
Chicago,Damen Ave & Coulter St,52870,3
Chicago,Kildare & Cermak,52931,3
Chicago,Major Taylor Trail & 115th St,53173,3
Chicago,Halsted St & 111th St,53173,3
Chicago,Eggleston Ave & 92nd St,53203,3
Chicago,Yates Blvd & 93rd St,53239,3
Chicago,Western Ave & Granville Ave,53386,3
Chicago,Spaulding Ave & Division St,53500,3
Chicago,Kostner Ave & Wrightwood Ave,53561,3
Chicago,Wood St & 35th St,53716,3
Chicago,Eberhart Ave & 91st St,53750,3
Chicago,California Ave & Francis Pl (Temp),53750,3
Chicago,Wentworth Ave & 104th St,54038,3
Chicago,Western Ave & 21st St,54286,3
Chicago,St. Louis Ave & Balmoral Ave,54292,3
Chicago,Eastlake Ter & Rogers Ave,54297,3
Chicago,Bosworth Ave & Howard St,54297,3
Chicago,Sheridan Rd & Montrose Ave,54306,3
Chicago,Clarendon Ave & Gordon Ter,54625,3
Chicago,Drake Ave & Addison St,54688,3
Chicago,Kilpatrick Ave & Parker Ave,54750,3
Chicago,Wallace St & 35th St,55000,3
Chicago,Broadway & Wilson - Truman College Vaccination Site,55236,3
Chicago,Avenue L & 114th St,55325,3
Chicago,Sawyer Ave & Irving Park Rd,55417,3
Chicago,Central Park Ave & North Ave,55625,3
Chicago,Clarendon Ave & Leland Ave,55707,3
Chicago,Lavergne Ave & 46th St,55714,3
Chicago,Halsted St & 96th St,55833,3
Chicago,Kilbourn & Belden,55972,3
Chicago,Paulina St & 18th St,55972,3
Chicago,Wentworth Ave & 63rd St,55987,3
Chicago,Springfield Ave & 47th St,56008,3
Chicago,Parkside Ave & Armitage Ave,56078,3
Chicago,Morgan St & Polk St,56136,3
Chicago,May St & Taylor St,56136,3
Chicago,Hale Ave & 107th St,56400,3
Chicago,Whipple St & Irving Park Rd,56458,3
Chicago,Troy St & North Ave,56563,3
Chicago,California Ave & Cortez St,57277,3
Chicago,Kedzie Ave & Leland Ave,57303,3
Chicago,Kosciuszko Park,57566,3
Chicago,Loomis St & 89th St,57772,3
Chicago,Hoyne Ave & 34th St,57963,3
Chicago,Calumet Park,58036,3
Chicago,Ewing Ave & Burnham Greenway,58036,3
Chicago,Kilbourn & Roscoe,58100,3
Chicago,Vernon Ave & 75th St,58111,3
Chicago,Lincoln Ave & Winona St,58118,3
Chicago,Broadway & Barry Ave,58411,3
Chicago,State St & 123rd St,58426,3
Chicago,Pulaski & Ann Lurie Pl,58625,3
Chicago,Kedzie Ave & Foster Ave,58750,3
Chicago,State St & 95th St,59115,3
Chicago,Western Ave & Fillmore St,59119,3
Chicago,Harlem Ave & Grace St,59239,3
Chicago,Chicago State University,59297,3
Chicago,Francisco Ave & Foster Ave,59356,3
Chicago,Keystone Ave & Montrose Ave,59526,3
Chicago,Avers Ave & Belmont Ave,60114,3
Chicago,Yates Blvd & 75th St,60296,3
Chicago,Jeffery Blvd & 76th St,60296,3
Chicago,Fairfield Ave & 44th St,60475,3
Chicago,Narragansett & Wrightwood,60481,3
Chicago,Oak Park & Wellington,60536,3
Chicago,California Ave & Fletcher St,60948,3
Chicago,Albany Ave & Montrose Ave,61000,3
Chicago,Racine Ave & 18th St,61250,3
Chicago,Paulina St & Flournoy St,61458,3
Chicago,Wolcott Ave & Polk St,61458,3
Chicago,Wood St & Taylor St (Temp),61458,3
Chicago,Hermitage Ave & Polk St,61458,3
Chicago,Oakley Ave & Touhy Ave,61483,3
Chicago,Morgan St & 31st St,61566,3
Chicago,Mulligan Ave & Wellington Ave,61779,3
Chicago,Cornell Ave & Hyde Park Blvd,61806,3
Chicago,Halsted St & Archer Ave,61806,3
Chicago,Monticello Ave & Irving Park Rd,61895,3
Chicago,Cicero Ave & Grace St,62130,3
Chicago,Oketo Ave & Addison St,62813,3
Chicago,Woodlawn Ave & Lake Park Ave,62917,3
Chicago,Lakefront Trail & Bryn Mawr Ave,62935,3
Chicago,2112 W Peterson Ave,62961,3
Chicago,Central Ave & Chicago Ave,63108,3
Chicago,Stockton Dr & Wrightwood Ave,63370,3
Chicago,Theater on the Lake,63370,3
Chicago,Cannon Dr & Fullerton Ave,63370,3
Chicago,Broadway & Waveland Ave,64079,3
Chicago,Vernon Ave & 107th St,64191,3
Chicago,Western Ave & Division St,64330,3
Chicago,East End Ave & 87th St,64375,3
Chicago,Clark St & Drummond Pl,64420,3
Chicago,Campbell Ave & Fullerton Ave,64760,3
Chicago,Halsted St & 37th St,64912,3
Chicago,Orange & Addison,65069,3
Chicago,Meade Ave & Addison St,65096,3
Chicago,Wilton Ave & Belmont Ave,65099,3
Chicago,Halsted St & 18th St (Temp),65179,3
Chicago,Bennett Ave & 79th St,65459,3
Chicago,Damen Ave & Foster Ave,65536,3
Chicago,Wabash Ave & 87th St,65636,3
Chicago,Wabash Ave & 83rd St,65636,3
Chicago,Kedzie Ave & Palmer Ct,66435,3
Chicago,Archer (Damen) Ave & 37th St,67250,3
Chicago,Leavitt St & Archer Ave,67250,3
Chicago,Central Park Ave & Ohio St,67863,3
Chicago,Monticello Ave & Chicago Ave,67863,3
Chicago,Commercial Ave & 130th St,68203,3
Chicago,Torrence Ave & 126th Pl,68203,3
Chicago,Broadway & Granville Ave,68214,3
Evanston,Chicago Ave & Sheridan Rd,68250,3
Chicago,Kedzie Ave & 57th St,68450,3
Chicago,St. Clair St & Erie St,68500,3
Chicago,Mies van der Rohe Way & Chicago Ave,68500,3
Chicago,N Clark St & W Elm St,68606,3
Chicago,Clark St & Elm St,68606,3
Chicago,Shore Dr & 55th St,68648,3
Evanston,Elmwood Ave & Austin St,68750,3
Chicago,Ridge Blvd & Touhy Ave,68947,3
Chicago,State St & 35th St,69000,3
Chicago,State St & 33rd St,69000,3
Chicago,Paulina St & Montrose Ave,69167,3
Chicago,Clark St & Montrose Ave,69167,3
Chicago,University Ave & 57th St,69429,3
Chicago,Ellis Ave & 55th St,69429,3
Chicago,Ellis Ave & 58th St,69429,3
Chicago,Narragansett & Irving Park,69750,3
Chicago,Montrose Harbor,70237,3
Chicago,Long Ave & Belmont Ave,70481,3
Chicago,Long & Irving Park,70625,3
Chicago,Spaulding Ave & Armitage Ave,70750,3
Evanston,Chicago Ave & Washington St,71125,3
Chicago,Morgan St & Pershing Rd,71705,3
Chicago,Halsted St & 35th St,71705,3
Chicago,Troy St & Grace St,71759,3
Chicago,St. Louis Ave & Fullerton Ave,71875,3
Chicago,Pulaski Rd & Eddy St (Temp),71932,3
Chicago,Bernard St & Elston Ave,72222,3
Chicago,Broadway & Cornelia Ave,72308,3
Chicago,Ellis Ave & 53rd St,72500,3
Evanston,Benson Ave & Church St,73031,3
Chicago,Walden Pkwy & 100th St,73421,3
Chicago,Oakley Ave & Irving Park Rd,73449,3
Chicago,Throop St & Taylor St,73558,3
Chicago,Kimball Ave & Belmont Ave,73571,3
Norridge,Harlem & Irving Park,73889,3
Chicago,Western Ave & Lunt Ave,74597,3
Chicago,Central Park Ave & Elbridge Ave,74961,3
Chicago,Western & 28th - Velasquez Institute Vaccination Site,75074,4
Chicago,W Oakdale Ave & N Broadway,75750,4
Chicago,Sayre & Diversey,75769,4
Chicago,Komensky Ave & 55th St,75859,4
Chicago,Racine Ave & 35th St,76143,4
Chicago,Clark St & Bryn Mawr Ave,76222,4
Chicago,California Ave & North Ave,76250,4
Chicago,DuSable Lake Shore Dr & Belmont Ave,76792,4
Chicago,Clark St & Wrightwood Ave,77039,4
Chicago,Racine Ave & 15th St,77054,4
Chicago,Stony Island Ave & 82nd St,77067,4
Chicago,State St & Pearson St,77605,4
Chicago,Glenwood Ave & Touhy Ave,77829,4
Chicago,Kildare Ave & Montrose Ave,77917,4
Chicago,Panama Ave & Grace St,78099,4
Chicago,Clark St & Winnemac Ave,78333,4
Chicago,Broadway & Ridge Ave,78542,4
Chicago,Albany Ave & Bloomingdale Ave,79231,4
Chicago,Milwaukee Ave & Rockwell St,79375,4
Chicago,Stave St & Armitage Ave,79375,4
Chicago,Rockwell St & Eastwood Ave,79519,4
Chicago,Vincennes Ave & 104th St,80208,4
Chicago,Milwaukee Ave & Fullerton Ave,80347,4
Chicago,Shabbona Park,80739,4
Chicago,Avondale Ave & Irving Park Rd,80962,4
Chicago,Western Ave & 111th St,81429,4
Chicago,Morgan St & 18th St,81618,4
Chicago,Winthrop Ave & Lawrence Ave,82222,4
Chicago,Ravenswood Ave & Berteau Ave,82800,4
Chicago,South Chicago Ave & Elliot Ave,83367,4
Chicago,Lake Park Ave & 47th St,83443,4
Chicago,Damen Ave & Clybourn Ave,83472,4
Chicago,Leavitt St & Chicago Ave,83958,4
Chicago,Federal St & Polk St,84281,4
Chicago,Loomis St & Lexington St,84625,4
Chicago,Racine Ave & Congress Pkwy,84625,4
Chicago,Clark St & Leland Ave,84758,4
Chicago,Manor Ave & Leland Ave,85097,4
Chicago,Avenue O & 134th St,85139,4
Chicago,Greenwood Ave & 97th St,85278,4
Chicago,Ravenswood Ave & Lawrence Ave,85441,4
Chicago,Ravenswood Ave & Irving Park Rd,85515,4
Chicago,Union Ave & Root St,85667,4
Chicago,Avenue O & 118th St,85724,4
Chicago,Morgan Ave & 14th Pl,85865,4
Chicago,Clark St & Elmdale Ave,85917,4
Chicago,Roscoe & Harlem,85921,4
Chicago,Western Ave & Leland Ave,86071,4
Chicago,Cherry Ave & Blackhawk St,86250,4
Chicago,Halsted St & North Branch St,86250,4
Chicago,Larrabee St & Oak St,86250,4
Chicago,Larrabee St & Division St,86250,4
Chicago,Halsted St & Clybourn Ave,86250,4
Chicago,Dayton St & North Ave,86250,4
Chicago,Sheffield Ave & Kingsbury St,86250,4
Chicago,Pine Grove Ave & Irving Park Rd,86486,4
Chicago,N Damen Ave & W Chicago Ave,86563,4
Chicago,Damen Ave & Chicago Ave,86563,4
Chicago,Mies van der Rohe Way & Chestnut St,87708,4
Chicago,Halsted St & Roscoe St,87944,4
Chicago,Broadway & Belmont Ave,87944,4
Chicago,Burnham Greenway & 105th St,87955,4
Chicago,Western Ave & Gunnison St,88542,4
Chicago,Washtenaw Ave & Lawrence Ave,88542,4
Chicago,N Sheffield Ave & W Wellington Ave,88594,4
Chicago,Sheffield Ave & Wellington Ave,88594,4
Chicago,Broadway & Sheridan Rd,88917,4
Chicago,Sheridan Rd & Irving Park Rd,88917,4
Evanston,Dodge Ave & Mulford St,89318,4
Chicago,W 103rd St & S Avers Ave,89375,4
Chicago,DuSable Lake Shore Dr & Ohio St,89559,4
Chicago,Streeter Dr & Grand Ave,89559,4
Chicago,Smith Park,89688,4
Chicago,Artesian Ave & Hubbard St,89688,4
Chicago,Damen Ave & Grand Ave,89750,4
Chicago,DuSable Lake Shore Dr & North Blvd,90417,4
Chicago,Clark St & North Ave,90417,4
Chicago,Clark St & Armitage Ave,90417,4
Chicago,Calumet Ave & 21st St,90573,4
Chicago,Adler Planetarium,90573,4
Chicago,Field Museum,90573,4
Chicago,Wabash Ave & Cermak Rd,90573,4
Chicago,Burnham Harbor,90573,4
Chicago,Shedd Aquarium,90573,4
Chicago,Humboldt Blvd & Armitage Ave,90750,4
Chicago,Dorchester Ave & 63rd St,90857,4
Chicago,Lakeview Ave & Fullerton Pkwy,90987,4
Chicago,Damen Ave & Sunnyside Ave,91094,4
Chicago,Lincoln Ave & Sunnyside Ave,91094,4
Chicago,Ritchie Ct & Banks St,91920,4
Chicago,Michigan Ave & 8th St,91985,4
Chicago,Wabash Ave & 9th St,91985,4
Chicago,Clark St & Wellington Ave,92188,4
Chicago,Drake Ave & Montrose Ave,92438,4
Chicago,Wells St & Concord Ln,93021,4
Chicago,Fairbanks St & Superior St,93125,4
Chicago,McClurg Ct & Erie St,93125,4
Chicago,Lakefront Trail & Wilson Ave,93274,4
Chicago,Clarendon Ave & Junior Ter,93274,4
Chicago,Orleans St & Elm St,93393,4
Chicago,Aberdeen St & Jackson Blvd,93984,4
Chicago,Loomis St & Jackson Blvd,94229,4
Chicago,Wolcott (Ravenswood) Ave & Montrose Ave,94355,4
Chicago,Knox Ave & Montrose Ave,94643,4
Chicago,Kilbourn Ave & Irving Park Rd,94643,4
Chicago,Southport Ave & Clark St,94900,4
Chicago,California Ave & Milwaukee Ave,94931,4
Chicago,Bloomingdale Ave & Harlem Ave,94938,4
Chicago,Western Ave & Walton St,95429,4
Chicago,Clark St & Schiller St,95724,4
Chicago,California Ave & Altgeld St,95924,4
Chicago,Central Ave & Roscoe St,96083,4
Chicago,Hoyne Ave & Balmoral Ave,96094,4
Chicago,Winchester (Ravenswood) Ave & Balmoral Ave,96094,4
Chicago,Prospect Sq & 91st St,96250,4
Chicago,Campbell Ave & Montrose Ave,97604,4
Chicago,Dearborn St & Van Buren St,97837,4
Chicago,Franklin St & Monroe St,97837,4
Chicago,Franklin St & Adams St (Temp),97837,4
Chicago,Financial Pl & Ida B Wells Dr,97837,4
Chicago,Clark St & Ida B Wells Dr,97837,4
Chicago,Franklin St & Jackson Blvd,97837,4
Chicago,McCormick Place,98320,4
Chicago,Western Ave & Congress Pkwy,99091,4
Chicago,Claremont Ave & Hirsch St,100227,5
